VoteChoice,Keywords
Very good ,"[('good', 0.7071)]"
Ok,"[('ok', 1.0)]"
Nice,"[('nice', 1.0)]"
Good  ,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Good,"[('good', 1.0)]"
Good choose of Collect & Great Service  Appreciate.  Thank you  ,"[('collect', 0.5205), ('appreciate', 0.4212), ('service', 0.3493)]"
Good luck renuka,"[('renuka', 0.7303), ('luck', 0.4748), ('good', 0.2246)]"
Good store. Quite a few choices ,"[('store', 0.5966), ('choices', 0.3577), ('good', 0.1571)]"
Thank lakshana,"[('lakshana', 0.7793), ('thank', 0.4101)]"
Great experience and customer service ,"[('experience', 0.5563), ('customer', 0.5533), ('service', 0.4895)]"
Superb service by firoz,"[('firoz', 0.5201), ('service', 0.4794), ('superb', 0.457)]"
everything was perfect. special thanks to Yaron,"[('yaron', 0.5854), ('perfect', 0.2973), ('special', 0.2732)]"
Good ,"[('good', 1.0)]"
Better shades ,"[('shades', 0.8574), ('better', 0.3598)]"
All time favourite Levi’s brand,"[('levi', 0.692), ('brand', 0.6428), ('favourite', 0.3314)]"
Very good shopping experience staff cooperative and suggestions were very relatable ,"[('shopping', 0.4199), ('cooperative', 0.3448), ('suggestions', 0.3397)]"
Na ,"[('na', 1.0)]"
Good service by faizan,"[('faizan', 0.5968), ('service', 0.4978), ('good', 0.1589)]"
Good rewati good,"[('rewati', 0.769), ('good', 0.4296)]"
Good,"[('good', 1.0)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Very good,"[('good', 0.7071)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
It was good,"[('good', 0.5784)]"
Very good and helping staff,"[('staff', 0.5633), ('helping', 0.3868), ('good', 0.2746)]"
Excellent product and services,"[('services', 0.5537), ('product', 0.4546), ('excellent', 0.3664)]"
Happy,"[('happy', 1.0)]"
"To keep regular size available at the stock, i.e. Size M","[('stock', 0.4208), ('size', 0.4036), ('regular', 0.3112)]"
Make little affordable cloths,"[('cloths', 0.7148), ('affordable', 0.4461), ('make', 0.2653)]"
Good service satya,"[('satya', 0.7791), ('service', 0.4955), ('good', 0.2247)]"
Nothing ,[]
Nice service good staff and new collection  nice offer,"[('staff', 0.5031), ('service', 0.4593), ('collection', 0.4416)]"
Good staff good collection nice service ,"[('staff', 0.6192), ('collection', 0.4966), ('service', 0.4454)]"
Good staff good collection and nice offer ,"[('staff', 0.5631), ('collection', 0.4969), ('offer', 0.3157)]"
Nice staff good collection experience very nice ,"[('staff', 0.5887), ('collection', 0.5232), ('experience', 0.3336)]"
Very nice service and good store,"[('service', 0.43), ('store', 0.4283), ('nice', 0.1865)]"
It's good ,"[('good', 0.6459)]"
Thanks,"[('thanks', 1.0)]"
All good service :),"[('service', 0.3411), ('good', 0.2457)]"
Very friendly all staff,"[('staff', 0.6355), ('friendly', 0.6178)]"
"There is enough style, choices and stock available, Staff  behaviour and explanation of goods material also appreciated ","[('staff', 0.5085), ('goods', 0.4151), ('material', 0.3386)]"
Outstanding overall ,"[('outstanding', 0.7816), ('overall', 0.6605)]"
Bablu good  staff good ,"[('bablu', 0.687), ('staff', 0.5062), ('good', 0.2199)]"
Helpful staff ,"[('staff', 0.809), ('helpful', 0.4834)]"
Superb service by hemangi,"[('hemangi', 0.5814), ('service', 0.4688), ('superb', 0.4469)]"
....,[]
Nice communication ,"[('communication', 0.6674), ('nice', 0.3676)]"
good,"[('good', 1.0)]"
Asha very staff keep it up appreciated ,"[('asha', 0.573), ('staff', 0.4852), ('appreciated', 0.3771)]"
Ajaz provided good service ,"[('ajaz', 0.7323), ('service', 0.4932), ('provided', 0.2568)]"
Good,"[('good', 1.0)]"
Good qulity,"[('qulity', 0.7819), ('good', 0.3775)]"
Products are excellent and staff members behave very supportive ,"[('supportive', 0.4279), ('staff', 0.4197), ('products', 0.3362)]"
It was a very good experience specially with hardik bhaiya,"[('bhaiya', 0.482), ('experience', 0.4018), ('hardik', 0.3971)]"
Good ,"[('good', 1.0)]"
Thanks,"[('thanks', 1.0)]"
Good,"[('good', 1.0)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
Had a very good shopping experience with Vishal...thx,"[('vishal', 0.675), ('shopping', 0.3547), ('thx', 0.2504)]"
Nothing ,[]
Ziyan was very co-operative and helped me in shopping! Very good,"[('ziyan', 0.6353), ('shopping', 0.3293), ('helped', 0.2167)]"
Superb service by vinay,"[('vinay', 0.4898), ('service', 0.4722), ('superb', 0.4581)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Great staff,"[('staff', 0.7994), ('great', 0.3271)]"
Good ,"[('good', 1.0)]"
Priyanka,"[('priyanka', 1.0)]"
Good ?? ,"[('good', 0.6013)]"
Good,"[('good', 1.0)]"
Helpful staff ,"[('staff', 0.809), ('helpful', 0.4834)]"
Hi,"[('hi', 1.0)]"
Great design. Great service,"[('design', 0.4143), ('service', 0.3852), ('great', 0.3527)]"
Best service ,"[('service', 0.7333), ('best', 0.5849)]"
Collection was superb n service was outstanding ,"[('collection', 0.4952), ('outstanding', 0.4784), ('superb', 0.4604)]"
Quality have to improve a bit,"[('quality', 0.7618), ('improve', 0.5516), ('bit', 0.3068)]"
All r very good,"[('good', 0.4266)]"
Good service by dimple,"[('dimple', 0.6505), ('service', 0.5673), ('good', 0.2241)]"
Nothing ,[]
Biskit Very nice,"[('biskit', 0.8761), ('nice', 0.2861)]"
Nice arun,"[('arun', 0.9029), ('nice', 0.2905)]"
It was a great experience at the phoenix levis store. I was attended by Kalung.  She patiently showed all the selections and gave multiple sizes to try on.   Highly appreciate Kalung's professionalism. Great going! ,"[('kalung', 0.4287), ('sizes', 0.3991), ('levis', 0.31)]"
Excellent service by tanveer,"[('tanveer', 0.594), ('service', 0.473), ('excellent', 0.2533)]"
Superb service by vinay,"[('vinay', 0.4898), ('service', 0.4722), ('superb', 0.4581)]"
Nothing   ,[]
Shop executive not redeemed my points after told him two times but hi said I have no points for redeem...  Please look into.,"[('redeemed', 0.5413), ('redeem', 0.5397), ('points', 0.4499)]"
Make better quality tshirts that last more than a year. Thank you.,"[('tshirts', 0.5852), ('quality', 0.281), ('year', 0.2343)]"
Superb service by hemangi,"[('hemangi', 0.5814), ('service', 0.4688), ('superb', 0.4469)]"
More sizes,"[('sizes', 0.7726)]"
Good service by ketan,"[('ketan', 0.663), ('service', 0.4861), ('good', 0.1935)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
You can't improve the messed up length of the denim. Very unprofessional.,"[('denim', 0.5719), ('improve', 0.3175), ('length', 0.3173)]"
Good,"[('good', 1.0)]"
Excellent  ,"[('excellent', 1.0)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Good,"[('good', 1.0)]"
"So far none, excellent service ","[('service', 0.5045), ('far', 0.3067), ('excellent', 0.2502)]"
Preeti gave excellent service!!!,"[('preeti', 0.644), ('service', 0.4299), ('excellent', 0.2208)]"
good,"[('good', 1.0)]"
Good?? ,"[('good', 0.6013)]"
Ghoo,"[('ghoo', 1.0)]"
K,[]
K,[]
Good,"[('good', 1.0)]"
Exellent experience ,"[('exellent', 0.7213), ('experience', 0.6471)]"
Good,"[('good', 1.0)]"
Good service by tanveer,"[('tanveer', 0.5842), ('service', 0.479), ('good', 0.1392)]"
Options for Women cloths are very limited,"[('cloths', 0.5993), ('women', 0.422), ('options', 0.353)]"
"Very good service, thanks to Babalu ","[('babalu', 0.5741), ('service', 0.4379), ('thanks', 0.2782)]"
Hoot daar,"[('daar', 0.83), ('hoot', 0.7831)]"
Qg,"[('qg', 1.0)]"
Good quality ?? ,"[('quality', 0.7035), ('good', 0.272)]"
Good,"[('good', 1.0)]"
Excellent collection and service.  The salesperson Ms Asha was very helpful,"[('asha', 0.4426), ('salesperson', 0.4047), ('collection', 0.357)]"
Wow good sopportiv team nd also stff,"[('sopportiv', 0.5116), ('stff', 0.497), ('nd', 0.4491)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Na,"[('na', 1.0)]"
Nothing ,[]
It's ok,"[('ok', 0.5525)]"
Rahul dave - great service ,"[('rahul', 0.6405), ('dave', 0.5392), ('service', 0.39)]"
Supriya is asscet to your company...she is extremely good ,"[('supriya', 0.7226), ('company', 0.2496), ('asscet', 0.1913)]"
Everything is good ,"[('good', 0.4763)]"
Great staff. Very patient and helpful,"[('staff', 0.6371), ('patient', 0.4008), ('helpful', 0.3318)]"
Rutika is a an excellent staff and very helpful  ,"[('rutika', 0.5754), ('staff', 0.3843), ('helpful', 0.196)]"
Good,"[('good', 1.0)]"
Good  ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Staff is very helpful and prompt. Thank you!,"[('staff', 0.5071), ('prompt', 0.4503), ('helpful', 0.3124)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
Best product ,"[('product', 0.6536), ('best', 0.6358)]"
Very good fashion consultant Mr Anil . Jad fantastic knowledge about the product and the style which would go on the person … Great experience ,"[('fashion', 0.4762), ('consultant', 0.4303), ('anil', 0.4295)]"
Pls improve customer service,"[('customer', 0.5655), ('service', 0.5605), ('pls', 0.4195)]"
Keep it UP,[]
Nothing ,[]
good,"[('good', 1.0)]"
Please make styles for office going people. ,"[('styles', 0.6021), ('office', 0.4677), ('people', 0.2034)]"
Nice Decent Collections,"[('collections', 0.7486), ('decent', 0.4881), ('nice', 0.2865)]"
Nice,"[('nice', 1.0)]"
Excellent ,"[('excellent', 1.0)]"
Very great ,"[('great', 0.7085)]"
Bablu explain the product and explain the return policy  Nice behaviour  ,"[('policy', 0.432), ('bablu', 0.4246), ('behaviour', 0.4085)]"
Good,"[('good', 1.0)]"
Superb service by firoz,"[('firoz', 0.5201), ('service', 0.4794), ('superb', 0.457)]"
Excellent ,"[('excellent', 1.0)]"
Reduce prices ??,"[('reduce', 0.5716), ('prices', 0.4766)]"
Good experience and good staff I liked the music and overall ambience thanks  Regards Prathit,"[('staff', 0.3565), ('ambience', 0.3449), ('music', 0.3445)]"
Inorebit levis,"[('levis', 0.7486), ('inorebit', 0.6664)]"
Very good abhi,"[('abhi', 0.6983), ('good', 0.4899)]"
Good Abhishek for service,"[('abhishek', 0.6954), ('service', 0.5484), ('good', 0.2885)]"
Fantastic fabulous and very humble staff.  Sales person is also very skilled and knowledgeable about the taste of coustomer. They shows articals as per our taste that's a valuable matter. I really appreciate the hospitality and service.  Levis  Yagnik Road Rajkot...,"[('rajkot', 0.3951), ('hospitality', 0.3711), ('fabulous', 0.357)]"
Good,"[('good', 1.0)]"
Give Aqeel a raise! Best salesman in the mall,"[('salesman', 0.584), ('mall', 0.479), ('raise', 0.4597)]"
Not any changes required.already it is best and vijay bhaiya is very great. Nice experience ,"[('changes', 0.5127), ('vijay', 0.4184), ('bhaiya', 0.2906)]"
Thnx so much Renuka ,"[('renuka', 0.7892), ('thnx', 0.3423)]"
Good,"[('good', 1.0)]"
Thank ,"[('thank', 1.0)]"
No need Already very nice service.,"[('service', 0.5275), ('need', 0.2675), ('nice', 0.1095)]"
Wow hoshangabad thnxxx,"[('hoshangabad', 0.7132), ('thnxxx', 0.5864), ('wow', 0.3512)]"
Superb service by majid,"[('majid', 0.5628), ('superb', 0.4711), ('service', 0.4699)]"
Thank you Shifali for help ,"[('shifali', 0.6255), ('help', 0.3872), ('thank', 0.326)]"
Very polite nature,"[('polite', 0.799), ('nature', 0.3282)]"
Excellent service ????,"[('service', 0.5851), ('excellent', 0.2839)]"
It’s always an an amazing Experience shopping at Levi’s shoutout to Afreen Khan for making the purchase more convenient ,"[('levi', 0.4085), ('afreen', 0.3717), ('shopping', 0.3685)]"
Experience was great...special mention to the sales person who helped me out ,"[('experience', 0.6031), ('sales', 0.3575), ('great', 0.2112)]"
Good working this guys veri Good expirence levis store sgs mall  ,"[('levis', 0.4605), ('expirence', 0.458), ('sgs', 0.444)]"
Superb service by hemangi,"[('hemangi', 0.5814), ('service', 0.4688), ('superb', 0.4469)]"
Overall was good including service ,"[('overall', 0.5551), ('service', 0.4522), ('including', 0.3787)]"
Akash Done good job,"[('akash', 0.7289), ('job', 0.2729), ('good', 0.1827)]"
Good service by Mr Tausif ,"[('tausif', 0.6086), ('service', 0.4555), ('mr', 0.2821)]"
Good,"[('good', 1.0)]"
Superb service by keval,"[('keval', 0.524), ('superb', 0.5181), ('service', 0.4729)]"
We had a very good experience ,"[('experience', 0.5585), ('good', 0.2745)]"
Really happy with customer service ,"[('customer', 0.5613), ('service', 0.4863), ('happy', 0.4165)]"
Very nice ,"[('nice', 0.6794)]"
The collection is super comfortable just keep doing what you guys do best,"[('collection', 0.5244), ('comfortable', 0.3926), ('best', 0.2282)]"
Nice,"[('nice', 1.0)]"
Thanks ,"[('thanks', 1.0)]"
Superb service by vinay,"[('vinay', 0.4898), ('service', 0.4722), ('superb', 0.4581)]"
Good Deepak service ?? ,"[('deepak', 0.6553), ('service', 0.4667), ('good', 0.147)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
It’s all nice parfet sttaf for Vapi branch ,"[('parfet', 0.5413), ('vapi', 0.4854), ('sttaf', 0.4839)]"
I’m visiting kharghar Levi’s staff name is raziya is very helpful & good staff thank you Kharghar Levi’s for feel me great.,"[('levi', 0.4617), ('raziya', 0.45), ('kharghar', 0.4331)]"
M,[]
"Asha Chetri has been very kind and patient, suggesting the best products that we could buy!!","[('chetri', 0.5219), ('asha', 0.4741), ('products', 0.3712)]"
Good ,"[('good', 1.0)]"
Should give offers on both eligible on 15999 should get the bag and trolley free instead of just getting the trolley ,"[('trolley', 0.4801), ('bag', 0.2794), ('eligible', 0.2599)]"
Good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Some Uniform identity,"[('uniform', 0.653), ('identity', 0.6232)]"
Friendly and great staff. Nice collections I was happy shopping @ Levi's Vapi. ,"[('collections', 0.4371), ('staff', 0.433), ('vapi', 0.386)]"
good at all,"[('good', 0.5625)]"
Good experience and helpful staff,"[('staff', 0.579), ('experience', 0.4518), ('helpful', 0.3652)]"
Friendly staff. Good collection overall. Happy shopping @Levis Vapi. ,"[('staff', 0.489), ('levis', 0.4352), ('collection', 0.413)]"
Very well explained ,"[('explained', 0.7771)]"
None ,[]
Distressed jeans collection and shorts collection needed,"[('jeans', 0.6087), ('shorts', 0.5113), ('collection', 0.4428)]"
Very good service by Isrshad qureshi Borivali West branch thank you Levi’s ????,"[('qureshi', 0.4391), ('service', 0.3794), ('levi', 0.3673)]"
Nice collection of the products,"[('products', 0.5861), ('collection', 0.5285), ('nice', 0.2997)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
good ,"[('good', 1.0)]"
Par excellent service  Esther,"[('esther', 0.6764), ('service', 0.4698), ('par', 0.3907)]"
Very good staff. ,"[('staff', 0.7468), ('good', 0.263)]"
Shadab is no 1 staff,"[('shadab', 0.7234), ('staff', 0.4717)]"
"Gita Ben Bhavre is excellent sales person and I’ve very good experience with her on numerous occasion , I strongly recommend to promote her to higher scale.","[('gita', 0.4284), ('sales', 0.4037), ('bhavre', 0.3686)]"
It was a nice experience  ,"[('experience', 0.4785), ('nice', 0.3007)]"
The salesgirl was efficient and knowledgeable on the shop products and quickly helped me find what I was looking for. She also offered to look in the storeroom since my size wasn't available on display.,"[('salesgirl', 0.6086), ('shop', 0.4693), ('storeroom', 0.4316)]"
Superb service by firoz,"[('firoz', 0.5201), ('service', 0.4794), ('superb', 0.457)]"
Good ,"[('good', 1.0)]"
Good experience  ,"[('experience', 0.7718), ('good', 0.399)]"
"Nothing, had great service say the inorbit vadodara store from Ashfak and Hinal","[('vadodara', 0.5413), ('service', 0.354), ('hinal', 0.3485)]"
Very good,"[('good', 0.7071)]"
??,[]
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
good product ,"[('product', 0.7059), ('good', 0.4907)]"
Hoshang thmx,"[('thmx', 0.7989), ('hoshang', 0.6934)]"
Greta experience ,"[('greta', 0.8254), ('experience', 0.5101)]"
Excellent service by moheeb..,"[('moheeb', 0.6111), ('service', 0.4498), ('excellent', 0.267)]"
"Very good deal ,thank u staff","[('staff', 0.4297), ('deal', 0.4095), ('thank', 0.2713)]"
Good  service pankaj,"[('pankaj', 0.784), ('service', 0.4969), ('good', 0.2707)]"
"Good service,","[('service', 0.5624), ('good', 0.4261)]"
Good,"[('good', 1.0)]"
Prices should be little more affordable.,"[('affordable', 0.5822), ('prices', 0.4925), ('little', 0.2856)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Good,"[('good', 1.0)]"
Then geeta,"[('geeta', 0.8324)]"
Good service by hemangi,"[('hemangi', 0.6722), ('service', 0.4925), ('good', 0.2003)]"
 Kalung was very helpful ,"[('kalung', 0.6835), ('helpful', 0.3133)]"
Good ,"[('good', 1.0)]"
Superb service,"[('superb', 0.6817), ('service', 0.6467)]"
Nice service ,"[('service', 0.607), ('nice', 0.401)]"
Attendant Jyoti helped choose great products with good quality and point,"[('jyoti', 0.4795), ('attendant', 0.458), ('products', 0.3854)]"
Good,"[('good', 1.0)]"
Best service ,"[('service', 0.7333), ('best', 0.5849)]"
Cost Reduction,"[('reduction', 0.6341), ('cost', 0.6253)]"
More offers,"[('offers', 0.8638)]"
Very bad in cash counter boy name is aftab Poojan patel sales person is very good excellent ,"[('cash', 0.4316), ('sales', 0.3436), ('patel', 0.3078)]"
Very good shoping experience  Surekha,"[('shoping', 0.5669), ('experience', 0.4113), ('surekha', 0.3657)]"
Nothing ,[]
Make more curve friendly jeans for  women ,"[('jeans', 0.5833), ('curve', 0.4109), ('women', 0.3479)]"
Helping and polite staff,"[('staff', 0.6975), ('polite', 0.5319), ('helping', 0.4145)]"
Goop ,"[('goop', 1.0)]"
Good,"[('good', 1.0)]"
Have a great experience ,"[('experience', 0.6478), ('great', 0.3823)]"
Nyc ,"[('nyc', 1.0)]"
.,[]
Good collection,"[('collection', 0.7376), ('good', 0.3926)]"
Superb service by niket,"[('niket', 0.5938), ('service', 0.4798), ('superb', 0.4707)]"
Good,"[('good', 1.0)]"
Nice staff,"[('staff', 0.7899), ('nice', 0.3611)]"
Good staff and good service,"[('staff', 0.6728), ('service', 0.5576), ('good', 0.229)]"
Very wel taken care of customers ,"[('customers', 0.7048), ('care', 0.4021), ('wel', 0.3443)]"
Nice ambiance of store... Nice staff... ,"[('staff', 0.537), ('store', 0.5269), ('ambiance', 0.4353)]"
Extent by majid,"[('majid', 0.6775), ('extent', 0.6445)]"
Great,"[('great', 1.0)]"
Nice service ,"[('service', 0.607), ('nice', 0.401)]"
Nice collection ,"[('collection', 0.6719), ('nice', 0.4632)]"
Good,"[('good', 1.0)]"
Anil was really helpful. Although no discount. ,"[('anil', 0.5815), ('discount', 0.4828), ('helpful', 0.2906)]"
Nice customer support ,"[('customer', 0.5988), ('support', 0.4837), ('nice', 0.3815)]"
Good service really very good experience with Levi's Yagnik road rajkot ,"[('rajkot', 0.4611), ('service', 0.4081), ('levi', 0.3586)]"
Good,"[('good', 1.0)]"
Gr8,"[('gr8', 1.0)]"
It's too good ,"[('good', 0.4015)]"
Good service provide by bhuj levis store,"[('bhuj', 0.4842), ('levis', 0.4638), ('service', 0.4443)]"
Very good ,"[('good', 0.7071)]"
Very Good Behaviour by the man Clothes are very comfortable ,"[('comfortable', 0.4893), ('clothes', 0.4294), ('behaviour', 0.398)]"
All good ??,"[('good', 0.3706)]"
Good collection ,"[('collection', 0.7376), ('good', 0.3926)]"
Good service ??,"[('service', 0.6284), ('good', 0.2731)]"
Excellent ,"[('excellent', 1.0)]"
All good ,"[('good', 0.4393)]"
"Exlent, quality products ","[('exlent', 0.6012), ('products', 0.5885), ('quality', 0.5682)]"
"Good job, Good quality  Customer service is carrying ","[('quality', 0.5023), ('customer', 0.4923), ('service', 0.4022)]"
Good stuff,"[('stuff', 0.7284), ('good', 0.533)]"
Good  ,"[('good', 1.0)]"
Superb service by Raj,"[('raj', 0.5236), ('service', 0.5233), ('superb', 0.4611)]"
Nice material. Well choice  Good service plenty of variety.,"[('material', 0.4316), ('service', 0.3724), ('variety', 0.3166)]"
Thanks geeta,"[('geeta', 0.7479), ('thanks', 0.5366)]"
Excellent service ,"[('service', 0.6481), ('excellent', 0.5238)]"
,[]
Good service by firoz,"[('firoz', 0.5679), ('service', 0.5273), ('good', 0.1976)]"
Make good quality ,"[('quality', 0.7562), ('make', 0.4607), ('good', 0.2121)]"
All good,"[('good', 0.4393)]"
Good,"[('good', 1.0)]"
Ram is awesome.,"[('ram', 0.7741), ('awesome', 0.1912)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
Superb service givan by  niketh,"[('givan', 0.5409), ('niketh', 0.5098), ('superb', 0.3838)]"
Provide more style and looks,"[('style', 0.6286), ('looks', 0.4126), ('provide', 0.248)]"
..,[]
Done ,[]
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Awesome ,"[('awesome', 1.0)]"
Good,"[('good', 1.0)]"
Good professional and experienced ,"[('professional', 0.7021), ('experienced', 0.6225), ('good', 0.2822)]"
Nice staff,"[('staff', 0.7899), ('nice', 0.3611)]"
"Doing Great, keep it up. Farzana, was very helpful and appreciate patience with bill payment issue.","[('payment', 0.3566), ('farzana', 0.3464), ('great', 0.3142)]"
Good??,"[('good', 0.6013)]"
The customer care is superb and the collection is alsi excellent and fashionista! Keep it up!????,"[('fashionista', 0.4009), ('customer', 0.3629), ('collection', 0.3279)]"
Good,"[('good', 1.0)]"
Fine,"[('fine', 1.0)]"
superb service by firoz,"[('firoz', 0.5201), ('service', 0.4794), ('superb', 0.457)]"
Superb service by nikith,"[('nikith', 0.4882), ('service', 0.4861), ('superb', 0.481)]"
Great service by darshita patel,"[('patel', 0.5429), ('service', 0.4399), ('darshita', 0.406)]"
Superb service by raj,"[('raj', 0.5236), ('service', 0.5233), ('superb', 0.4611)]"
Good experience ,"[('experience', 0.7718), ('good', 0.399)]"
Nice service all,"[('service', 0.5469), ('nice', 0.3403)]"
Superb service by hemangi,"[('hemangi', 0.5814), ('service', 0.4688), ('superb', 0.4469)]"
No need to improve there is boy arjun hegade is very helpful????,"[('arjun', 0.5849), ('improve', 0.4738), ('hegade', 0.3696)]"
They are the best!!,"[('best', 0.4262)]"
Good service ?? ,"[('service', 0.6284), ('good', 0.2731)]"
Great experience ,"[('experience', 0.6299), ('great', 0.4188)]"
"Got denims from the inorbit mall Malad outlet. Mayur was very very helpful and patient. Thank you, Mayur!","[('denims', 0.6317), ('mall', 0.3786), ('malad', 0.2417)]"
Superb service,"[('superb', 0.6817), ('service', 0.6467)]"
Bablu  :- very nice communication skills  Tysm ,"[('bablu', 0.6707), ('communication', 0.4499), ('skills', 0.4111)]"
Superb service bi nikith,"[('nikith', 0.6205), ('service', 0.4896), ('superb', 0.4784)]"
Just good,"[('good', 0.6914), ('just', 0.5268)]"
Supriya gave good service ,"[('supriya', 0.7082), ('service', 0.4444), ('gave', 0.2225)]"
Great ??,"[('great', 0.6057)]"
Good ,"[('good', 1.0)]"
Discount rakhkho....,"[('rakhkho', 0.7741), ('discount', 0.5646)]"
 Ok,"[('ok', 1.0)]"
Good service,"[('service', 0.6827), ('good', 0.4384)]"
Avail variety of products in terms of  colours and style ...,"[('colours', 0.5673), ('products', 0.5508), ('variety', 0.4693)]"
"We like the service,all the   ","[('service', 0.6041), ('like', 0.2124)]"
Very nice service ,"[('service', 0.5779), ('nice', 0.3237)]"
"Me and my wife went to the outlet for shopping  Tanveer was the personnel who helped me find the right denim. It took me 5 trials before I got the right fit - very helpful and answered any and every query I had. I now have his connect, when I’m in need of denims or T-shirts, he is the guy   Asha helped my wife. My wife, who didn’t wanna bug ended up buying 2 jeans.   Super staff and very courteous  Great shopping experience 11/10 is my rating ","[('denim', 0.4965), ('denims', 0.4687), ('jeans', 0.4562)]"
Good service ,"[('service', 0.6827), ('good', 0.4384)]"
Good,"[('good', 1.0)]"
Good product,"[('product', 0.7059), ('good', 0.4907)]"
Overall experience is nice,"[('experience', 0.6601), ('overall', 0.4628), ('nice', 0.2686)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
I would like to thank Ms. Avantika madam bcz the way she attended & suggested me all clothes is really appreciable.  Just bcz of her service I purchase more than my budget ??. Thank you dear Avantika????????,"[('avantika', 0.4226), ('madam', 0.3429), ('appreciable', 0.3301)]"
Very good ,"[('good', 0.7071)]"
Fabulous response and  staff,"[('staff', 0.6606), ('fabulous', 0.5305), ('response', 0.4801)]"
Good,"[('good', 1.0)]"
Good,"[('good', 1.0)]"
Superb,"[('superb', 1.0)]"
Good ,"[('good', 1.0)]"
Thank you very much! Everything was fine!,"[('fine', 0.2752), ('thank', 0.1818)]"
.,[]
Good,"[('good', 1.0)]"
To much costly ,"[('costly', 0.8123)]"
Good service by rewati ,"[('rewati', 0.6705), ('service', 0.484), ('good', 0.1922)]"
Very good service happily treat very polite,"[('polite', 0.5814), ('service', 0.5383), ('happily', 0.4112)]"
Happy with the experience ,"[('experience', 0.6292), ('happy', 0.4156)]"
I had an amazing experience! Prachi from the phoenix branch helped me pick my best choices! Loved the vibe!,"[('prachi', 0.515), ('experience', 0.2716), ('phoenix', 0.2543)]"
Well explained and Guided properly ,"[('guided', 0.664), ('explained', 0.4818), ('properly', 0.337)]"
Great exp for the diff options,"[('exp', 0.4749), ('diff', 0.4122), ('options', 0.3967)]"
Superb service by Vinay,"[('vinay', 0.4898), ('service', 0.4722), ('superb', 0.4581)]"
hood,"[('hood', 1.0)]"
The store team is great handled very professionally by the store manager. Om and Srishti helped us a lot.,"[('srishti', 0.4333), ('manager', 0.3517), ('store', 0.3414)]"
Great service!,"[('service', 0.5116), ('great', 0.3885)]"
again great experience with the store team keep it up,"[('store', 0.511), ('experience', 0.3483), ('great', 0.275)]"
Expensive but good quality. Limited options ,"[('expensive', 0.6099), ('quality', 0.5213), ('options', 0.373)]"
Superb service by mehul,"[('mehul', 0.5708), ('superb', 0.4911), ('service', 0.4813)]"
More colors in jeans,"[('jeans', 0.6914), ('colors', 0.6066)]"
Cost should be reasonable,"[('cost', 0.5852), ('reasonable', 0.5331)]"
Good ??,"[('good', 0.6013)]"
Good ,"[('good', 1.0)]"
Good ,"[('good', 1.0)]"
Collections is great and the service is splendid ,"[('collections', 0.6699), ('service', 0.3767), ('splendid', 0.335)]"
Good,"[('good', 1.0)]"
Good to visit again,"[('visit', 0.6359), ('good', 0.3866)]"
Very good shubhan,"[('shubhan', 0.8381), ('good', 0.3769)]"
Good,"[('good', 1.0)]"
Good collection and service is splendid ,"[('collection', 0.5225), ('splendid', 0.459), ('service', 0.4174)]"
Nikit best ,"[('nikit', 0.8897), ('best', 0.4314)]"
.,[]
Nice,"[('nice', 1.0)]"
Good service  Very cooperative  ,"[('cooperative', 0.6582), ('service', 0.6087), ('good', 0.2333)]"
Good,"[('good', 1.0)]"
good,"[('good', 1.0)]"
Superb service by hemngi,"[('hemngi', 0.6125), ('service', 0.4705), ('superb', 0.4514)]"
Good,"[('good', 1.0)]"
Pleasant welcome and service ,"[('pleasant', 0.6916), ('service', 0.5599), ('welcome', 0.4274)]"
good rewati best service In Store best of luck,"[('rewati', 0.4956), ('store', 0.4463), ('service', 0.4055)]"
